frame,ratio
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,4
8,4
9,4
10,5
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,10
27,11
28,11
29,6
30,10
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,1
42,1
43,1
44,6
45,1
46,1
47,6
48,6
49,6
50,6
51,6
52,6
53,7
54,10
55,9
56,9
57,11
58,10
59,6
60,6
61,7
62,6
63,6
64,7
65,7
66,7
67,7
68,6
69,6
70,5
71,6
72,6
73,7
74,6
75,7
76,7
77,7
78,10
79,7
80,7
81,6
82,6
83,7
84,6
85,6
86,6
87,7
88,7
89,7
90,7
91,6
92,6
93,6
94,6
95,6
96,8
97,6
98,7
99,7
100,7
101,6
102,5
103,9
104,9
105,9
106,9
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,8
118,11
119,9
120,9
121,9
122,9
123,9
124,8
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,6
135,4
136,5
137,4
138,5
139,5
140,8
141,7
142,8
143,6
144,6
145,6
146,6
147,8
148,8
149,6
150,5
151,8
152,8
153,8
154,6
155,6
156,7
157,1
158,1
159,6
160,4
161,4
162,3
163,4
164,4
165,4
166,4
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,4
175,4
176,4
177,4
178,5
179,5
180,3
181,5
182,5
183,4
184,4
185,3
186,4
187,1
188,1
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,4
198,5
199,5
200,4
201,4
202,4
203,5
204,5
205,5
206,5
207,5
208,4
209,5
210,5
211,5
212,5
213,5
214,4
215,2
216,1
217,1
218,2
219,3
220,3
221,3
222,3
223,4
224,4
225,4
226,4
227,3
228,3
229,3
230,3
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,8
240,3
241,8
242,8
243,8
244,8
245,8
246,8
247,9
248,10
249,10
250,10
251,10
252,10
253,10
254,10
255,9
256,9
257,9
258,11
259,11
260,11
261,11
262,11
263,11
264,11
265,10
266,10
267,10
268,11
269,10
270,11
271,10
272,10
273,11
274,10
275,11
276,5
277,6
278,6
279,8
280,6
281,5
282,6
283,6
284,7
285,8
286,7
287,7
288,10
289,9
290,6
291,4
292,6
293,9
294,6
295,6
296,6
297,5
298,6
299,6
300,6
301,6
302,5
303,7
304,6
305,7
306,5
307,5
308,6
309,6
310,7
311,6
312,9
313,7
314,7
315,7
316,7
317,7
318,7
319,5
320,5
321,5
322,5
323,4
324,6
325,3
326,8
327,7
328,3
329,6
330,6
331,9
332,9
333,7
