frame,ratio
0,28
1,28
2,25
3,25
4,26
5,26
6,30
7,29
8,25
9,24
10,27
11,27
12,28
13,28
14,27
15,27
16,23
17,23
18,26
19,26
20,25
21,25
22,22
23,23
24,27
25,28
26,20
27,20
28,20
29,20
30,23
31,23
32,21
33,21
34,22
35,22
36,25
37,25
38,15
39,15
40,15
41,15
42,16
43,16
44,15
45,15
46,24
47,24
48,16
49,16
50,14
51,14
52,16
53,16
54,16
55,16
56,28
57,28
58,11
59,11
60,26
61,26
62,24
63,24
64,24
65,24
66,16
67,16
68,15
69,15
70,22
71,22
72,27
73,27
74,11
75,11
76,23
77,23
78,26
79,25
80,24
81,24
82,22
83,22
84,19
85,19
86,10
87,10
88,9
89,9
90,7
91,9
92,19
93,19
94,18
95,18
96,14
97,14
98,21
99,21
100,21
101,21
102,19
103,19
104,25
105,25
106,21
107,28
108,16
109,16
110,21
111,21
112,24
113,22
114,18
115,18
116,18
117,17
118,21
119,21
120,23
121,23
122,24
123,24
124,22
125,22
126,23
127,24
128,25
129,25
130,25
131,25
132,21
133,21
134,20
135,20
136,20
137,20
138,22
139,22
140,22
141,23
142,19
143,19
144,23
145,23
146,18
147,18
148,15
149,14
150,19
151,19
152,20
153,20
154,17
155,17
156,17
157,17
158,15
159,15
160,15
161,15
162,16
163,16
164,23
165,23
166,24
167,24
168,25
169,24
170,24
171,24
172,24
173,24
174,18
175,18
176,20
177,20
178,19
179,19
180,20
181,20
182,14
183,14
184,22
185,22
186,22
187,21
188,21
189,21
190,21
191,21
192,24
193,24
194,21
195,21
196,21
197,21
198,22
199,22
200,23
201,23
202,22
203,22
204,20
205,20
206,21
207,21
208,21
209,21
210,23
211,23
212,25
213,25
214,25
215,25
216,26
217,26
218,21
219,21
220,21
221,21
222,21
223,21
224,20
225,20
226,21
227,19
228,19
229,18
230,18
231,19
232,19
233,20
234,20
235,18
236,18
237,15
238,15
239,11
240,11
241,11
242,11
243,10
244,10
245,14
246,14
247,12
248,12
249,14
250,14
251,16
252,16
253,18
254,18
255,17
256,17
257,18
258,18
259,10
260,8
261,9
262,9
263,9
264,9
265,9
266,9
267,9
268,9
269,16
270,17
271,12
272,12
273,10
274,10
275,5
276,5
277,6
278,6
279,10
280,10
281,12
282,12
283,13
284,13
285,10
286,10
287,19
288,19
289,19
290,20
291,21
292,21
293,12
294,12
295,12
296,12
297,16
298,16
299,16
300,16
301,18
302,18
303,18
304,18
305,10
306,10
307,10
308,10
309,8
310,8
311,9
312,9
313,10
314,10
315,11
316,11
317,13
318,13
319,15
320,15
321,9
322,9
323,14
324,14
325,11
326,11
327,14
328,14
329,13
330,13
331,13
332,13
333,14
334,14
335,14
336,14
337,15
338,15
339,13
340,13
341,14
342,15
343,15
344,15
345,13
346,13
347,17
348,17
349,14
350,14
351,15
352,15
353,12
354,12
355,13
356,13
357,13
358,13
359,14
360,14
361,14
362,14
363,15
364,15
365,17
366,17
367,16
368,16
369,13
370,13
371,16
372,16
373,21
374,18
375,23
376,23
377,20
378,20
379,22
380,21
381,19
382,19
383,24
384,24
385,23
386,23
387,13
388,13
389,14
390,14
391,17
392,17
393,18
394,18
395,12
396,12
397,13
398,13
399,14
400,14
401,13
402,13
403,20
404,20
405,22
406,22
407,16
408,16
409,20
410,20
411,23
412,23
413,26
414,26
415,22
416,22
417,20
418,20
419,12
420,12
421,13
422,13
423,11
424,11
425,7
426,8
427,11
428,11
429,10
430,10
431,11
432,9
433,10
434,10
435,11
436,10
437,9
438,9
439,10
440,10
441,11
442,11
443,14
444,15
445,19
446,19
447,20
448,20
